"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro"
"1088",36115,"NY","Washington",76.06,24009,63216,27156,"Metro"
"1089",36117,"NY","Wayne",155.3,36504,93772,29028,"Metro"
"1090",36119,"NY","Westchester",2204.69,347332,949113,54572,"Metro"
"1091",36121,"NY","Wyoming",71.12,15815,42155,27150,"Nonmetro"
"1092",36123,"NY","Yates",74.96,9029,25348,27512,"Metro"
"1093",37001,"NC","Alamance",356.49,64059,151131,26215,"Metro"
"1094",37003,"NC","Alexander",143.07,13722,37198,24452,"Metro"
"1095",37005,"NC","Alleghany",47.46,4746,11155,21244,"Nonmetro"
"1096",37007,"NC","Anson",50.71,9516,26948,20124,"Nonmetro"
"1097",37009,"NC","Ashe",64.02,11805,27281,24039,"Nonmetro"
"1098",37011,"NC","Avery",72.03,6587,17797,20253,"Nonmetro"
"1099",37013,"NC","Beaufort",57.74,19325,47759,26233,"Nonmetro"
"1100",37015,"NC","Bertie",30.43,7976,21282,20430,"Nonmetro"
