"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro","Date","Cases","Deaths","DateAsInteger","Impact"
"215",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-23,12,0,18375,"Low"
"216",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-17,12,0,18369,"Low"
"217",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-15,10,0,18367,"Low"
"218",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-12,9,0,18364,"Low"
"219",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-10,7,0,18362,"Low"
"220",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-11,7,0,18363,"Low"
"221",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-19,12,0,18371,"Low"
"222",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-22,13,0,18374,"Low"
"223",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-20,12,0,18372,"Low"
"224",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-14,9,0,18366,"Low"
"225",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-06,6,0,18358,"Low"
"226",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-13,9,0,18365,"Low"
"227",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-07,6,0,18359,"Low"
"228",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-09,7,0,18361,"Low"
"229",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-08,7,0,18360,"Low"
"230",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-05,6,0,18357,"Low"
"231",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-24,12,0,18376,"Low"
"232",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-05,18,0,18357,"Low"
"233",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-16,37,0,18368,"Low"
"234",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-04,15,0,18356,"Low"
"235",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-14,33,0,18366,"Low"
"236",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-11,30,0,18363,"Low"
"237",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-03-29,8,0,18350,"Low"
"238",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-06,20,0,18358,"Low"
"239",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-08,22,0,18360,"Low"
"240",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-15,37,0,18367,"Low"
"241",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-12,30,0,18364,"Low"
"242",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-13,33,0,18365,"Low"
"243",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-03,15,0,18355,"Low"
"244",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-03-30,10,0,18351,"Low"
"245",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-24,49,1,18376,"Low"
"246",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-02,14,0,18354,"Low"
"247",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-17,37,0,18369,"Low"
"248",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-10,27,0,18362,"Low"
"249",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-07,20,0,18359,"Low"
"250",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-23,47,1,18375,"Low"
"251",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-18,39,0,18370,"Low"
"252",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-01,13,0,18353,"Low"
"253",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-09,25,0,18361,"Low"
"254",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-04-19,42,0,18371,"Low"
"255",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro",2020-03-28,7,0,18349,"Low"
